demand_id,facility_id,distance_m,straight_line_m,detour_factor
129808,21545,2575.4483370107064,2185.0525295740003,1.1786665547637054
129809,598,551.63170027758,875.1126732290222,0.6303550584431025
129811,21545,3055.994252909079,2795.7712418733167,1.093077361673339
129812,598,2577.3694726249655,1753.3640434816286,1.4699568422237757
129813,21545,15664.489564517946,14449.473821898082,1.0840871963641
129814,23218,3030.3149116924274,2657.663232620797,1.1402177952788053
129815,23939,5078.1182189851825,5040.615511767249,1.007440104711495
129816,23218,3626.6954373560957,2769.6215141254575,1.3094552518672467
129817,21545,17973.615144233292,16559.058350786716,1.0854249537311023
129818,23939,7989.774697615675,7376.1902086477385,1.0831844721477735
129820,23939,21379.723520799234,19457.903365441518,1.09876810051236
129821,23939,27233.28354935952,17941.68139552351,1.5178780042406887
129822,21545,4474.10057320043,4769.987902272016,0.9379689560783475
129823,598,3460.694724385226,2432.209160287935,1.42286065725348
129824,21545,14099.862595548611,10859.136634583128,1.2984331139774714
129825,23218,3466.8430021294553,3085.771478403744,1.1234931123035845
129826,23939,11199.967571492849,8552.501074110542,1.3095546524275232
129827,21545,6714.497485188814,6567.294085996849,1.0224146196689805
129828,21545,17973.615144233292,18166.486212196054,0.9893831385051625
129829,23939,5297.50831017462,4541.033023158415,1.1665866077516556
129830,23939,7115.597317735405,6267.368958291565,1.1353404219679226
129831,21545,9898.342599089554,8279.69680755777,1.1954957807216169
129832,21545,15025.271756451597,13659.37425769565,1.0999970769514866
129833,21545,3493.6532473498387,3241.9748838664405,1.0776311885498762
129834,21545,25324.574983460017,24031.32248430881,1.0538152862787986
129835,23939,14317.769463250012,11224.501060752831,1.275581817468305
129836,23939,15088.789912299555,13595.49276734458,1.1098376624157213
129838,23939,12788.43119392304,11559.65541276776,1.1062986514111903
129839,23939,8249.868565633502,7092.371297279369,1.1632031403655005
129840,21545,6714.497485188814,6777.093746200351,0.9907635539132637
129841,21545,23383.310030224024,21682.04026363182,1.0784644685604523
129842,23939,5210.930021113331,5482.326775593972,0.9504960638813368
129843,23218,4631.748352960987,4047.3148637949503,1.1444003021346467
129844,23218,4585.204751030812,4037.7311236055434,1.1355894215502877
129845,21545,16540.82918178323,15016.71047880225,1.1014948450349655
129846,21545,21309.25712470839,19461.73983075085,1.094930736410233
129847,21545,5910.236708443852,4637.308363454849,1.2744972396100605
129848,21545,18310.375246906526,17993.196666656928,1.0176276948518748
129849,23939,10733.353538810912,6300.524320760183,1.7035651308327766
129850,23939,10287.010647522977,8792.237375913677,1.1700105681523374
129851,23939,11944.31561270253,10892.092044856992,1.0966043587872887
129854,23939,17659.908975377428,15716.5001830122,1.123654043186144
129855,23939,15845.591999521852,14253.788859062519,1.1116757906405543
129856,23939,21703.70092601422,19158.510469146422,1.1328490782708116
